Arabasta,One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32
,Arabasta 01,Ch. 155-157,Ep. 92,2022.05.14,00:20:28,BB1D093C
,Arabasta 02,Ch. 157-159,Ep. 93-95,2023.06.05,00:28:25,E4BA97D6
,Arabasta 03,"Ch. 159, 161-162",Ep. 96-98,2023.07.28,00:25:58,73003149
,Arabasta 04,Ch. 159-164,"Ep. 98, 100-101, 103",2023.11.25,00:25:15,FF1E1708
,Arabasta 05,Ch. 164-166,"Ep. 100, 103-104",2021.05.09,00:32:08,E9E8604E
,Arabasta 06,Ch. 167-168,Ep. 105,2021.07.06,00:20:10,58865EA7
,Arabasta 07,Ch. 169-170,Ep. 106,2021.07.13,00:18:00,CFA091A0
,Arabasta 08,Ch. 171-174,Ep. 107-108,2021.09.01,00:35:34,726FD61C
,Arabasta 09,Ch. 175-178,Ep. 109-110,2021.11.27,00:36:24,A905C964
,Arabasta 10,Ch. 179-182,Ep. 111-112,2022.06.03,00:36:36,4B8CC4E7
,Arabasta 11,Ch. 183-186,Ep. 113-114,2022.08.25,00:35:17,C51CB284
,Arabasta 12,Ch. 187-189,Ep. 115-116,2022.10.06,00:25:53,FF26917C
,Arabasta 13,Ch. 189-192,"Ep. 113, 116-118",2022.11.30,00:24:38,58649840
,Arabasta 14,Ch. 192-195,Ep. 118-119,2023.02.03,00:32:26,0F3017E1
,Arabasta 15,Ch. 196-198,Ep. 120-121,2023.05.22,00:29:10,2AD355ED
,Arabasta 16,Ch. 199-201,Ep. 121-122,2024.05.17,00:22:36,5E646504
,Arabasta 17,Ch. 202-205,Ep. 123-124,2024.06.14,00:32:38,B5A40AD2
,Arabasta 18,Ch. 206-210,Ep. 125-126,2024.07.06,00:34:39,E4F68497
,Arabasta 19,Ch. 211-213,Ep. 127-128,2024.08.02,00:29:24,845C0D1D
,Arabasta 20,Ch. 214-216,Ep. 128-129,2024.08.09,00:31:24,0C5E9A92
,Arabasta 21,Ch. 217-218,Ep. 130,2024.08.16,00:17:17,EAA06203
