Wano, One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32,MKV CRC32 (Extended),Length (Extended)
,Wano 01,Ch. 909-910,Ep. 890-891,2025.04.04,00:22:48,F15AFDE0,,
,Wano 02,Ch. 909-911,Ep. 892-894,2025.05.17,00:29:06,8538EDC4,6F26FDAB,00:32:01
,Wano 03,Ch. 911-912,"Ep. 894,897",2025.06.01,00:34:00,410FD111,,
,Wano 04,Ch. 913,Ep. 898-899,2019.10.18,00:25:19,23CF2FA6,,
,Wano 05,Ch. 914-915,Ep. 900-902,2019.10.18,00:32:59,B51C53E9,,
,Wano 06,Ch. 915-916,Ep. 902-903,2019.10.18,00:25:48,13E4ABCF,,
,Wano 07,Ch. 916-917,Ep. 904-905,2019.11.22,00:31:19,F71F9B71,,
,Wano 08,Ch. 918-919,"Ep. 906,908-909",2020.03.14,00:38:50,6DA86F5F,,
,Wano 09,Ch. 919-920,Ep. 909-911,2020.03.16,00:30:57,5A5E65B1,,
,Wano 10,Ch. 921-922,Ep. 911-913,2020.03.31,00:37:01,91BE23B7,,
,Wano 11,Ch. 922-923,Ep. 914-915,2020.03.31,00:25:28,6A9CF454,,
,Wano 12,Ch. 924,Ep. 916,2020.04.01,00:20:31,5ACE812A,,
,Wano 13,Ch. 925-926,"Ep. 917-919,924",2020.05.06,00:36:54,DCF7AD65,,
,Wano 14,Ch. 926-927,Ep. 919-922,2020.06.25,00:38:08,BF92DCAF,,
,Wano 15,Ch. 928-930,Ep. 921-923,2020.07.12,00:38:51,AE6ABE84,,
,Wano 16,Ch. 930-931,Ep. 923-926,2020.07.24,00:34:06,9FA61F60,,
,Wano 17,Ch. 932-933,Ep. 926-928,2020.07.31,00:39:02,D2E02F36,,
,Wano 18,Ch. 934-935,Ep. 929-931,2020.12.09,00:37:21,94F78CF3,,
,Wano 19,Ch. 936-938,Ep. 931-934,2020.12.09,00:37:16,6C9E8055,,
,Wano 20,Ch. 938-939,Ep. 934-937,2021.01.09,00:34:44,93376225,,
,Wano 21,Ch. 940-941,Ep. 936-938,2021.02.28,00:34:16,0B965026,,
,Wano 22,Ch. 941-943,Ep. 939-940,2021.04.28,00:29:09,9F63AF78,,
,Wano 23,Ch. 943-944,Ep. 941-943,2022.01.18,00:39:59,37670A03,,
,Wano 24,Ch. 945,Ep. 942-944,2022.01.18,00:22:30,6173BCE1,,
,Wano 25,Ch. 946-947,Ep. 945-947,2021.09.10,00:33:27,C3825063,,
,Wano 26,Ch. 948-949,Ep. 947-949,2022.01.18,00:32:36,F3E829E8,,
,Wano 27,Ch. 950-951,Ep. 950-951,2022.02.13,00:30:16,3CC8226D,,
,Wano 28,Ch. 952-953,Ep. 952-953,2022.04.21,00:27:57,22F81B0E,,
,Wano 29,Ch. 953-954,Ep. 954-955,2022.12.18,00:27:24,5C7E0604,,
,Wano 30,Ch. 954-955,Ep. 955-956,2023.04.06,00:27:18,43A0D1DF,,
,Wano 31,Ch. 956,Ep. 957,2023.06.27,00:18:25,F6C7EB83,,
,Wano 32,Ch. 957,Ep. 958,2023.07.08,00:16:23,29B91F56,,
,Wano 33,Ch. 958-959,Ep. 959-960,2023.09.02,00:25:52,E3AB2BA0,,
,Wano 34,Ch. 960-961,Ep. 960-961,2023.09.23,00:23:00,224B7846,,
,Wano 35,Ch. 962-963,Ep. 961-963,2023.10.11,00:30:32,98B5E26D,,
,Wano 36,Ch. 964-965,Ep. 963-964,2023.12.08,00:28:07,BAFFE801,,
,Wano 37,Ch. 965-966,Ep. 964-967,2023.12.15,00:36:51,AD8C9C16,,
,Wano 38,Ch. 967,Ep. 967-968,2024.01.26,00:21:48,298A4284,,
,Wano 39,Ch. 968-969,Ep. 969-971,2024.04.05,00:38:01,56CFB8B0,,
,Wano 40,Ch. 970-972,Ep. 971-975,2024.05.10,00:41:53,713F7916,,
,Wano 41,Ch. 972-974,Ep. 975-977,2024.06.28,00:35:20,C89B4C1E,,
,Wano 42,Ch. 975-976,Ep. 978-980,2024.08.30,00:33:31,3FC81ABD,,
,Wano 43,Ch. 977-978,Ep. 981-982,2024.09.28,00:28:02,26D98629,,
,Wano 44,Ch. 978-979,Ep. 983-985,2024.10.26,00:27:23,F1FB27C6,,
,Wano 45,Ch. 980-981,Ep. 985-988,2024.11.09,00:30:20,DFB30A71,,
,Wano 46,Ch. 982-983,Ep. 988-991,2024.11.16,00:30:32,7392F65E,,
,Wano 47,Ch. 984-985,Ep. 991-994,2025.05.09,00:33:35,D78E29CD,,
,Wano 48,Ch. 986-987,Ep. 994-997,2025.05.17,00:34:56,F47C3EDD,,
,Wano 49,Ch. 988-989,Ep. 997-1000,2025.05.17,00:31:21,FE878EE8,58469AB0,00:33:14
,Wano 50,Ch. 990-991,Ep. 1001-1003,2025.06.06,00:31:15,0144BBBA,,
,Wano 51,Ch. 992-993,Ep. 1003-1006,2025.06.13,00:29:49,E004EDB5,,
,Wano 52,Ch. 994-995,Ep. 1006-1009,2025.06.20,00:26:49,D985734A,,
,Wano 53,Ch. 996-997,Ep. 1009-1011,2025.07.07,00:32:11,C99E7631,,
,Wano 54,Ch. 998-999,Ep. 1012-1014,2025.09.15,00:32:18,79C6DC33,,
,Wano 55,Ch. 1000,Ep. 1015,2025.09.27,00:12:39,2501AC5A,425F93B9,00:22:35
,Wano 56 Forward,Ch. 1001-1057,Ep. 1016-1085,To Be Released,,,,
