Dressrosa,One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32
,Dressrosa 01,Ch. 700-701,Ep. 628-631,2014.02.09,00:29:47,2A35B710
,Dressrosa 02,Ch. 702-703,Ep. 631-633,2014.03.25,00:21:50,E058DEF9
,Dressrosa 03,Ch. 704-705,Ep. 633-635,2014.04.01,00:27:01,90034ECC
,Dressrosa 04,Ch. 706-707,Ep. 634-637,2014.04.19,00:18:04,E98FA912
,Dressrosa 05,Ch. 708-709,Ep. 637-638,2014.04.25,00:21:10,A95DE47B
,Dressrosa 06,Ch. 710-711,Ep. 639-642,2014.05.09,00:26:23,F7CB97CD
,Dressrosa 07,Ch. 712-713,Ep. 640-643,2014.05.14,00:27:38,EACE397D
,Dressrosa 08,Ch. 714-715,Ep. 643-645,2014.06.01,00:20:57,777DE97C
,Dressrosa 09,Ch. 716-717,Ep. 646-647,2014.06.24,00:21:49,C2C37921
,Dressrosa 10,Ch. 718-719,Ep. 648-649,2014.07.04,00:21:31,50143351
,Dressrosa 11,Ch. 720-721,Ep. 650-651,2014.07.24,00:30:34,D8E8370A
,Dressrosa 12,Ch. 722-723,Ep. 652-654,2014.08.07,00:27:06,F20B5423
,Dressrosa 13,Ch. 724-725,Ep. 655-657,2014.09.11,00:22:21,C29E5C35
,Dressrosa 14,Ch. 726-727,"Ep. 648,657-659",2014.10.21,00:29:06,E3C90B8B
,Dressrosa 15,Ch. 728-729,Ep. 660-661,2014.10.29,00:23:57,6A3CE0EA
,Dressrosa 16,Ch. 730-731,"Ep. 657,662-663",2014.11.08,00:26:12,7073A62F
,Dressrosa 17,Ch. 732-733,Ep. 664-665,2014.11.10,00:21:44,174F92DD
,Dressrosa 18,Ch. 734-735,Ep. 666-667,2014.11.25,00:25:01,C9362978
,Dressrosa 19,Ch. 736-737,Ep. 668-670,2014.12.18,00:20:17,77081AEE
,Dressrosa 20,Ch. 738-739,Ep. 670-672,2015.01.23,00:24:43,BE72EB0E
,Dressrosa 21,Ch. 740-741,Ep. 672-675,2015.03.02,00:26:54,C21EC74A
,Dressrosa 22,Ch. 742-743,Ep. 675-678,2015.03.07,00:28:45,5FC46535
,Dressrosa 23,Ch. 744-745,Ep. 678-680,2015.03.22,00:27:55,5A38EC3B
,Dressrosa 24,Ch. 746-747,Ep. 681-683,2015.04.19,00:27:33,11DA7BCB
,Dressrosa 25,Ch. 748-749,Ep. 683-686,2015.05.06,00:21:52,1CADC5DC
,Dressrosa 26,Ch. 750-751,Ep. 685-688,2016.08.16,00:24:54,71CA89FC
,Dressrosa 27,Ch. 752-753,Ep. 688-691,2016.08.23,00:25:15,DC6C3C54
,Dressrosa 28,Ch. 754-755,Ep. 691-693,2016.09.02,00:25:41,04186119
,Dressrosa 29,Ch. 756-757,Ep. 693-696,2016.09.30,00:25:44,ACC7852E
,Dressrosa 30,Ch. 758-759,"Ep. 694,696-698",2016.10.06,00:22:42,4F16C5DC
,Dressrosa 31,Ch. 760-761,Ep. 699-700,2016.10.13,00:21:22,9C3360D6
,Dressrosa 32,Ch. 762-763,Ep. 701-702,2016.10.16,00:28:35,E98F852E
,Dressrosa 33,Ch. 764-765,Ep. 703-704,2016.11.05,00:29:39,53AEB13C
,Dressrosa 34,Ch. 766-767,Ep. 705-706,2016.12.02,00:28:58,0CA47011
,Dressrosa 35,Ch. 768-769,Ep. 707-711,2016.12.17,00:24:02,1B5DC33C
,Dressrosa 36,Ch. 770-771,Ep. 708-711,2017.01.14,00:26:19,F218F0E4
,Dressrosa 37,Ch. 772-773,Ep. 711-713,2017.02.24,00:28:20,777A9A6A
,Dressrosa 38,Ch. 774-775,Ep. 714-716,2017.03.12,00:29:16,0429451F
,Dressrosa 39,Ch. 776-778,Ep. 716-719,2017.03.20,00:42:40,7391ECD4
,Dressrosa 40,Ch. 779-781,"Ep. 714-715,720-723",2017.03.26,00:41:05,ECD80B22
,Dressrosa 41,Ch. 782-783,Ep. 723-725,2017.04.27,00:28:55,3E9F11F9
,Dressrosa 42,Ch. 784-785,Ep. 726-728,2017.05.13,00:28:38,55292D1C
,Dressrosa 43,Ch. 786-787,Ep. 728-730,2017.05.20,00:28:15,CAA32C42
,Dressrosa 44,Ch. 788-790,Ep. 730-733,2017.05.28,00:39:09,4DDF4C07
,Dressrosa 45,Ch. 791-793,Ep. 734-736,2017.06.10,00:40:24,15344804
,Dressrosa 46,Ch. 794-795,Ep. 737-739,2017.06.28,00:36:09,81C4666C
,Dressrosa 47,Ch. 796-797,Ep. 740-742,2017.09.02,00:37:02,01C40FA1
,Dressrosa 48,Ch. 798-800,Ep. 742-745,2017.09.10,00:42:56,5F035A13
